handle,vendor,type,status,live_media,local_assoc,local_files
balliu-tumbona-de-exterior-resina-b19af1ea,Balliu,Tumbona,ACTIVE,6,6,images_balliu/Eva-Pro-Balliu-800x614-1.png | images_balliu/balliu-eva-pro-arena-outdoor-furniture-mobiliario-terraza-jardin-01-scaled.jpg | images_balliu/balliu-eva-pro-marron-oscuro-outdoor-furniture-mobiliario-terraza-jardin-01-scaled.jpg | images_balliu/balliu-eva-pro-pamela-sun-umbrella-outdoor-furniture-mobiliario-terraza-jardin-01-scaled.jpg | images_balliu/balliu_recambio-tejido-para-tumbona-de-resina.png | images_balliu/eva-pro-blanco-01-00-800x614-1.jpg
balliu-tumbona-de-exterior-resina-ddeeef3f,Balliu,Tumbona,DRAFT,6,6,images_balliu/Eva-Pro-Balliu-800x614-1.png | images_balliu/balliu-eva-pro-arena-outdoor-furniture-mobiliario-terraza-jardin-01-scaled.jpg | images_balliu/balliu-eva-pro-marron-oscuro-outdoor-furniture-mobiliario-terraza-jardin-01-scaled.jpg | images_balliu/balliu-eva-pro-pamela-sun-umbrella-outdoor-furniture-mobiliario-terraza-jardin-01-scaled.jpg | images_balliu/balliu_recambio-tejido-para-tumbona-de-resina.png | images_balliu/eva-pro-blanco-01-00-800x614-1.jpg
balliu-tumbona-de-exterior-resina-75-cm-009e68e4,Balliu,Tumbona,ACTIVE,4,3,images_balliu/381-CARMEN.jpg | images_balliu/balliu-polonia-mobiliario-hotel-spa.jpg | images_balliu/tumbona-carmen-blanco-3000-00.webp
balliu-tumbona-de-exterior-resina-75-cm-aca076ae,Balliu,Tumbona,ACTIVE,8,7,images_balliu/Lola-Balliu-800x614-1.png | images_balliu/Lola-apilada-Balliu-800x614-1.png | images_balliu/bll2013-075-scaled.jpg | images_balliu/jmf2012_jml1717-scaled.jpg | images_balliu/lola-tumbona-blanco-arena-800x614-2.jpg | images_balliu/lola-tumbona-blanco-azul-800x614-2.jpg | images_balliu/lola-tumbona-blanco-marron-oscuro-800x614-2.jpg
balliu-tumbona-de-exterior-resina-73-cm-b19af1ea,Balliu,Tumbona,DRAFT,6,5,images_balliu/Eva-Pro-Balliu-800x614-1.png | images_balliu/balliu-eva-pro-arena-outdoor-furniture-mobiliario-terraza-jardin-01-scaled.jpg | images_balliu/balliu-eva-pro-marron-oscuro-outdoor-furniture-mobiliario-terraza-jardin-01-scaled.jpg | images_balliu/balliu-eva-pro-pamela-sun-umbrella-outdoor-furniture-mobiliario-terraza-jardin-01-scaled.jpg | images_balliu/eva-pro-blanco-01-00-800x614-1.jpg
balliu-tumbona-de-exterior-resina-73-cm-32a6c0ea,Balliu,Tumbona,DRAFT,6,5,images_balliu/Eva-Pro-Balliu-800x614-1.png | images_balliu/balliu-eva-pro-arena-outdoor-furniture-mobiliario-terraza-jardin-01-scaled.jpg | images_balliu/balliu-eva-pro-marron-oscuro-outdoor-furniture-mobiliario-terraza-jardin-01-scaled.jpg | images_balliu/balliu-eva-pro-pamela-sun-umbrella-outdoor-furniture-mobiliario-terraza-jardin-01-scaled.jpg | images_balliu/eva-pro-blanco-01-00-800x614-1.jpg
balliu-tumbona-de-exterior-resina-73-cm-d369d964,Balliu,Tumbona,ACTIVE,4,4,images_balliu/EvaRG-Balliu-800x614-1.png | images_balliu/eva-pro-blanco-01-00-800x614-1.jpg | images_balliu/eva-rg-tumbona-ambiente-800x614-1.jpg | images_balliu/eva-rg-tumbona-blanco-azul-800x614-1.jpg-1.webp
balliu-tumbona-de-exterior-resina-73-cm-0648657b,Balliu,Tumbona,ACTIVE,3,3,images_balliu/eva-pro-blanco-01-00-800x614-1.jpg | images_balliu/eva-rtg-tumbona-ambiente-800x614-1.jpg | images_balliu/eva-rtg-tumbona-blanco-800x614-1.jpg-1-1.webp
balliu-tumbona-de-exterior-resina-28ff014d,Balliu,Tumbona,ACTIVE,9,8,images_balliu/Balliu_2Noa_Madera-blanco2.jpg | images_balliu/Balliu_Noa-Arena_Apilada2.jpg | images_balliu/Balliu_Noa_Arena-natural2.jpg | images_balliu/Balliu_Noa_Blanco_marron2.jpg | images_balliu/Balliu_Noa_Madera-blanco2.jpg | images_balliu/Balliu_Noa_Tortola-ceniza2.jpg | images_balliu/Noa_1.png | images_balliu/Noa_2.png
balliu-tumbona-de-exterior-sin-ruedas-aluminio-da3f5c24,Balliu,Tumbona,ACTIVE,4,4,images_balliu/IMG_9298.jpg | images_balliu/IMG_9309.jpg | images_balliu/IMG_9318.jpg | images_balliu/balliu_tumbona-con-ruedas-olimpia.jpg
