handle,proveedor,n_variantes,precio_min,precio_max,precio_psicologico_G(objetivo),coste_min,margen%_a_precio_min,status
balliu-mesa-exterior-hpl-8080-cm-96593887,Balliu,1,384.95,384.95,384.95,206.53,35.1,OK
balliu-mesa-exterior-hpl-7070-cm-f6074154,Balliu,1,421.95,421.95,421.95,226.39,35.1,OK
balliu-mesa-exterior-aluminio-7070-cm-1b61e6b6,Balliu,20,421.95,422.95,480.95,258.36,25.9,CORREGIR
balliu-mesa-exterior-aluminio-8080-cm-a05618ad,Balliu,1,422.95,422.95,422.95,226.79,35.1,OK
balliu-mesa-exterior-aluminio-8080-cm-0a3ee957,Balliu,1,481.95,481.95,481.95,258.75,35.0,OK
balliu-mesa-exterior-aluminio-80-cm-50525e0b,Balliu,1,382.95,382.95,382.95,205.19,35.2,OK
balliu-mesa-exterior-aluminio-80-cm-b06218ca,Balliu,1,392.95,392.95,392.95,211.05,35.0,OK
balliu-mesa-exterior-aluminio-12080-cm-bf75a33d,Balliu,1,675.0,675.0,675.0,361.89,35.1,OK
balliu-mesa-exterior-aluminio-75-cm-d7ab6e04,Balliu,1,689.0,689.0,689.0,368.6,35.3,OK
balliu-mesa-exterior-aluminio-75-cm-dd745448,Balliu,2,347.95,347.95,347.95,186.62,35.1,OK
balliu-mesa-exterior-aluminio-75-cm-c0092e17,Balliu,1,505.0,505.0,505.0,270.76,35.1,OK
balliu-mesa-exterior-aluminio-72-cm-72514f40,Balliu,2,224.95,224.95,224.95,120.39,35.2,OK
balliu-sofa-exterior-3-plazas-aluminio-estilo-elegante-62-cm-5e2ef268,Balliu,3,525.0,995.0,"525.0, 665.0, 995.0",279.44,35.6,OK
balliu-mesa-auxiliar-exterior-aluminio-54-cm-19d3d0ee,Balliu,15,227.95,227.95,227.95,122.04,35.2,OK
balliu-mesa-auxiliar-exterior-aluminio-54-cm-9e2a2ecb,Balliu,1,242.95,242.95,242.95,130.35,35.1,OK
balliu-mesa-auxiliar-exterior-aluminio-54-cm-5ad43bf2,Balliu,1,229.95,229.95,229.95,123.32,35.1,OK
balliu-mesa-auxiliar-exterior-aluminio-54-cm-2ad5a2df,Balliu,1,249.9,249.9,249.9,136.79,33.8,OK
balliu-sofa-exterior-3-plazas-aluminio-estilo-contemporaneo-77-cm-674ab9a1,Balliu,3,685.0,1560.0,"685.0, 1139.0, 1560.0",367.06,35.2,OK
balliu-mesa-de-centro-exterior-aluminio-60-cm-510b363e,Balliu,15,349.9,349.9,"349.9, 421.95",194.7,32.7,OK
balliu-parasol-para-terraza-acrilico-236bd5f0,Balliu,24,399.9,399.9,,,,SIN_FUENTE_EXCEL
balliu-parasol-para-terraza-82e48b2d,Balliu,64,384.95,384.95,,,,SIN_FUENTE_EXCEL
balliu-parasol-para-terraza-f1ed8b8b,Balliu,19,299.9,381.95,381.95,204.95,17.3,CORREGIR
balliu-parasol-para-terraza-acrilico-c8dd492d,Balliu,24,398.95,399.9,399.9,222.76,32.4,OK
balliu-parasol-para-terraza-aluminio-300-cm-3b7e77d1,Balliu,3,1049.0,1049.0,1049.0,561.54,35.2,OK
balliu-parasol-para-terraza-aluminio-300-cm-0ceba8e7,Balliu,3,1049.0,1049.0,1049.0,561.54,35.2,OK
balliu-parasol-para-terraza-aluminio-300-cm-6c1e1224,Balliu,3,1899.0,1899.0,1899.0,1019.5,35.0,OK
balliu-accesorio-exterior-resina-da11d420,Balliu,1,89.95,89.95,89.95,48.25,35.1,OK
balliu-accesorio-exterior-resina-df85d2d1,Balliu,1,149.9,149.9,149.9,82.22,33.6,OK
balliu-colchoneta-para-tumbona-0e9a3256,Balliu,6,115.95,190.95,"115.95, 131.95, 190.95",62.07,35.2,OK
balliu-mobiliario-exterior-resina-28-cm-6264905d,Balliu,1,67.95,67.95,67.95,34.61,38.4,OK
