handle,title,status,type,vendor,desc_words,seo_desc,image,variants,variants_sin_gtin
balliu-mesa-auxiliar-exterior-aluminio-60-cm-9c991818,Mesa auxiliar exterior · aluminio HPL 45×45 cm · Etna,ACTIVE,Mesa,Balliu,87,sí,sí,15,15
balliu-mesa-exterior-resina-70-cm-33ce1613,Mesa exterior resina · Werzalit · Selva,ACTIVE,Mesa,Balliu,87,sí,sí,6,6
balliu-mesa-auxiliar-exterior-aluminio-90b11e5b,Mesa auxiliar exterior aluminio · Ø42 cm · Noa,ACTIVE,Mesa,Balliu,88,sí,sí,5,5
balliu-cama-balinesa-exterior-aluminio-estilo-sofisticado-160-cm-2bd3a7a4,Cama balinesa exterior aluminio · estilo sofisticado | 160 cm,ACTIVE,Cama balinesa,Balliu,89,sí,sí,1,1
balliu-mesa-auxiliar-exterior-resina-48-cm-de421a42,Mesa auxiliar exterior resina · 48×48 cm · Eva Pro Mini,ACTIVE,Mesa,Balliu,89,sí,sí,5,5
balliu-silla-exterior-resina-estilo-clasico-57-cm-8164cc65,Silla exterior resina · estilo clásico · Bimba,ACTIVE,Silla,Balliu,90,sí,sí,3,3
balliu-mesa-de-centro-exterior-aluminio-60-cm-510b363e,Mesa de centro exterior · aluminio HPL 110×60 cm,ACTIVE,Mesa,Balliu,90,sí,sí,15,15
balliu-parasol-para-terraza-aluminio-300-cm-6c1e1224,Parasol lateral exterior · aluminio 300×300 cm · Roma,ACTIVE,Parasol,Balliu,90,sí,sí,3,3
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-5,Set jardín 3 plazas · contemporáneo | sofá 3 plazas + 2 sillones + mesa 5,ACTIVE,Conjunto sofá,Hevea,91,sí,sí,1,1
balliu-mesa-auxiliar-exterior-resina-48-cm-35554775,Mesa auxiliar exterior resina · 48×48 cm · Eva Pro BCN,ACTIVE,Mesa,Balliu,91,sí,sí,5,5
balliu-mesa-auxiliar-exterior-aluminio-54-cm-6c7a42d9,Mesa auxiliar exterior aluminio · 48×48 cm tejido · Olimpia,ACTIVE,Mesa,Balliu,91,sí,sí,48,48
